ref,legend,row,col,x_mm,y_mm
SW1,F5,ROW0,COL5,67.24,39.5
SW2,F4,ROW0,COL6,57.24,39.5
SW3,F3,ROW0,COL7,47.24,39.5
SW4,F2,ROW0,COL8,37.24,39.5
SW5,F1,ROW0,COL9,27.24,39.5
SW6,ESC,ROW1,COL5,17.24,39.5
SW7,5,ROW1,COL6,67.24,48.5
SW8,4,ROW1,COL7,57.24,48.5
SW9,3,ROW1,COL8,47.24,48.5
SW10,2,ROW1,COL9,37.24,48.5
SW11,1,ROW2,COL5,27.24,48.5
SW12,`,ROW2,COL6,17.24,48.5
SW13,T,ROW2,COL7,67.24,57.5
SW14,R,ROW2,COL8,57.24,57.5
SW15,E,ROW2,COL9,47.24,57.5
SW16,W,ROW3,COL5,37.24,57.5
SW17,Q,ROW3,COL6,27.24,57.5
SW18,TAB,ROW3,COL7,17.24,57.5
SW19,G,ROW3,COL8,67.24,66.5
SW20,F,ROW3,COL9,57.24,66.5
SW21,D,ROW4,COL5,47.24,66.5
SW22,S,ROW4,COL6,37.24,66.5
SW23,A,ROW4,COL7,27.24,66.5
SW24,CAP,ROW4,COL8,17.24,66.5
SW25,B,ROW4,COL9,67.24,75.5
SW26,V,ROW5,COL5,57.24,75.5
SW27,C,ROW5,COL6,47.24,75.5
SW28,X,ROW5,COL7,37.24,75.5
SW29,Z,ROW5,COL8,27.24,75.5
SW30,SHF,ROW5,COL9,17.24,75.5
SW31,SPC,ROW6,COL5,62.24,84.5
SW32,ALT,ROW6,COL6,47.24,84.5
SW33,WIN,ROW6,COL7,37.24,84.5
SW34,FN,ROW6,COL8,27.24,84.5
SW35,CTL,ROW6,COL9,17.24,84.5
SW36,NAV_OK,ROW7,COL5,47.15,18.0
SW37,NAV_U,ROW7,COL6,47.15,9.5
SW38,NAV_D,ROW7,COL7,47.15,26.5
SW39,NAV_L,ROW7,COL8,55.65,18.0
SW40,NAV_R,ROW7,COL9,38.65,18.0
SW41,MB_L,ROW8,COL5,16.99,12.5
SW42,MB_R,ROW8,COL6,16.99,23.5
